ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part
1,499Ω,"R1,R2,R6,R7,R9",R0402,5,RC0402FR-07499RL,YAGEO(国巨),LCSC,C137970
2,3.01kΩ,R3,R0201,1,0201WMF3011TEE,UNI-ROYAL(厚声),LCSC,C473486
3,0.22uF,"C2,C1,C4,C3,C6,C5",C0201,6,V224K0201X5R6R3NJT,VIIYONG,LCSC,C962109
4,10Ω,R11,R0402,1,RC0402JR-0710RL,YAGEO(国巨),LCSC,C137925
5,10kΩ,R10,R0402,1,RC0402FR-0710KL,YAGEO(国巨),LCSC,C60490
6,9.09kΩ,R8,R0402,1,CR0402F9K09Q10Z,EVER OHMS(天二科技),LCSC,C881113
7,10kΩ,"R12,R13,R19,R20,R21,R27,R28,R30,R31,R37,R38,R44,R45,R53,R54,R55,R56,R57,R58,R59,R60,R65,R66,R67,R68,R75,R86,R88,R99,R104,R130,R129,R131,R132",R0201,34,RC0201JR-0710KL,YAGEO(国巨),LCSC,C138117
8,240Ω,"R17,R18,R25,R26",R0201,4,RC0201FR-07240RL,YAGEO(国巨),LCSC,C155745
9,1kΩ,"R16,R24,R39,R40,R41,R42,R46,R47,R48,R49,R50,R51,R52",R0201,13,0201WMF1001TEE,UNI-ROYAL(厚声),LCSC,C270365
10,10nF,"C11,C17,C16,C15,C14,C13,C12,C10,C22,C28,C27,C26,C25,C24,C23,C21,C20,C33,C39,C38,C37,C36,C35,C34,C32,C31,C44,C50,C49,C48,C47,C46,C45,C43,C55,C61,C60,C59,C58,C57,C56,C54,C53,C66,C72,C71,C70,C69,C68,C67,C65,C64",C0402,52,GCM155R71H103KA55D,muRata(村田),LCSC,C91601
11,100nF,"C9,C19,C30,C42,C52,C63,C73,C74",C0402,8,GCM155R71C104KA55D,muRata(村田),LCSC,C85857
12,1uF,"C8,C41,C86,C91,C100,C139,C137,C133,C130,C126,C122,C112,C105,C102,C93,C154,C141,C144,C162,C161,C160,C150,C153,C159,C165,C164,C163,C170,C243,C241",C0402,30,GCM155C71A105KE38D,muRata(村田),LCSC,C126521
13,10uF,"C7,C18,C29,C40,C51,C62",C0603,6,GCM188D70J106ME36D,muRata(村田),LCSC,C3039641
14,0Ω,"R29,R76",R0402,2,0402WGJ0000TCE,UNI-ROYAL(厚声),LCSC,C21376
15,0Ω,"R34,R35,R36,R61,R62,R64,R77,R92,R87,R90",R0201,10,ERJ1GN0R00C,PANASONIC(松下),LCSC,C716999
16,22Ω,R32,R0201,1,0201WMJ0220TEE,UNI-ROYAL(厚声),LCSC,C270325
17,1kΩ,"R33,R91",R0201,2,RC0201JR-071KL,YAGEO(国巨),LCSC,C131396
18,4.7uF,C75,C0402,1,0402X475M100NT,FH(风华),LCSC,C167656
19,100kΩ,"U2,U31",R0402,2,SCR0402J100K,VO(翔胜),LCSC,C3017514
20,100nF,C76,C0402,1,0402B104K500NT,FH(风华),LCSC,C110251
21,SN74LVC1G17DCKR,U3,SC-70-5_L2.1-W1.3-P0.65-LS2.1-BR,1,SN74LVC1G17DCKR,TI(德州仪器),LCSC,C10425
